Restaurant ID;Restaurant Name;Country Code;City;Address;Locality;Locality Verbose;Longitude;Latitude;Cuisines;Average Cost for two;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;
901176;Domino's Pizza;1;Kochi;Carnival Food Court, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.644.054.160;100.149.815.555;Pizza, Fast Food;400;Indian Rupees(Rs.);0;0;0;0;1;2.6;FFBA00;Average;535;
902397;Chakkarapanthal;1;Kochi;Kuzhikattumoola,Kakkanad;Kakkanad;Kakkanad, Kochi;763.578.138.873;100.122.160.625;Kerala;300;Indian Rupees(Rs.);0;1;1;0;1;3.7;9ACD32;Good;275;
901122;Hotel Aryaas;1;Kochi;11/751, Opposite More Retail, Seaport-Airport Road, Kakkanad, Kochi Kakkanad;Kakkanad;Kakkanad, Kochi;763.414.339.700;100.131.775.200;South Indian, Fast Food;250;Indian Rupees(Rs.);0;1;1;0;1;3.9;9ACD32;Good;258;
900668;KFC;1;Kochi;Noel Focus Mall, Seaport Airport Road, Chittethukara, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.494.742.289;100.007.510.332;Burger, Fast Food;500;Indian Rupees(Rs.);0;1;1;0;2;3.7;9ACD32;Good;507;
901089;Mustake Multicuisine Restaurant;1;Kochi;Near SEZ, Noel Focuz, Seaport-Airport Road, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.495.161.481;100.007.059.388;Chinese, Thai, North Indian, South Indian;1000;Indian Rupees(Rs.);0;1;1;0;3;3.9;9ACD32;Good;583;
902429;Thaal Kitchen;1;Kochi;Infopark Expressway;;;;;;;;;;;;;;;;;
Near Rajagiri College; Kakkanad;" Kochi""";Kakkanad;Kakkanad, Kochi;763.585.343.957;100.018.092.640;Kerala, Arabian;300;Indian Rupees(Rs.);0;1;0;0;1;3.6;9ACD32;Good;637;;;
900464;Alakapuri;1;Kochi;Infopark Road, Near Civil Station, Echamuku, Kakkanad, Kerala;Kakkanad;Kakkanad, Kochi;763.449.555.556;100.167.166.667;Kerala, South Indian, Chinese;300;Indian Rupees(Rs.);0;0;0;0;1;4.2;5BA829;Very Good;693;
900589;Burger Spot;1;Kochi;Near Sunrise Hospital, Seaport- Airport Road, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.384.027.800;100.249.111.100;Fast Food;400;Indian Rupees(Rs.);0;1;1;0;1;4.1;5BA829;Very Good;455;
900219;Galaxy Family Restaurant;1;Kochi;Puzhakkara Building, Vazhakkala, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.248.833.300;100.119.444.400;Kerala, North Indian, Seafood, Chinese;450;Indian Rupees(Rs.);0;0;0;0;1;4.1;5BA829;Very Good;396;
18153238;Hotel Harsh Dhaba;1;Kochi;Infopark Road, Edachira, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.690.912.351;100.167.921.879;North Indian, South Indian, Fast Food;250;Indian Rupees(Rs.);0;1;0;0;1;4.1;5BA829;Very Good;622;
901035;Palaaram;1;Kochi;Vallathol Junction, Thrikkakara, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.372.034.580;100.354.826.455;Kerala, Fast Food;550;Indian Rupees(Rs.);0;0;0;0;2;4.1;5BA829;Very Good;388;
900560;Rice N Fish;1;Kochi;XI/105, Civil Line Road, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.344.277.778;100.142.583.333;Seafood, North Indian, Chinese;700;Indian Rupees(Rs.);0;1;0;0;2;4.1;5BA829;Very Good;684;
